-------------------------------------------------------------------
Date: 7/2/2013 -- 15:29:17 (uptime: 0d, 00h 00m 28s)
-------------------------------------------------------------------
Counter                   | TM Name                   | Value
decoder.ipv4_in_ipv6      | AFPacketeth33             | 0
decoder.ipv6_in_ipv6      | AFPacketeth33             | 0
decoder.avg_pkt_size      | AFPacketeth33             | 774
decoder.max_pkt_size      | AFPacketeth33             | 1514
defrag.ipv4.fragments     | AFPacketeth33             | 6345
defrag.ipv4.reassembled   | AFPacketeth33             | 1033
defrag.ipv4.timeouts      | AFPacketeth33             | 0
defrag.ipv6.fragments     | AFPacketeth33             | 870
defrag.ipv6.reassembled   | AFPacketeth33             | 226
defrag.ipv6.timeouts      | AFPacketeth33             | 0
defrag.max_frag_hits      | AFPacketeth33             | 0
tcp.sessions              | AFPacketeth33             | 25171
tcp.ssn_memcap_drop       | AFPacketeth33             | 0
tcp.pseudo                | AFPacketeth33             | 291
tcp.invalid_checksum      | AFPacketeth33             | 0
tcp.no_flow               | AFPacketeth33             | 0
tcp.reused_ssn            | AFPacketeth33             | 11
tcp.memuse                | AFPacketeth33             | 44747872
tcp.syn                   | AFPacketeth33             | 18322
tcp.synack                | AFPacketeth33             | 6670
tcp.rst                   | AFPacketeth33             | 4442
tcp.segment_memcap_drop   | AFPacketeth33             | 157950
tcp.stream_depth_reached  | AFPacketeth33             | 0
tcp.reassembly_memuse     | AFPacketeth33             | 17179918620
tcp.reassembly_gap        | AFPacketeth33             | 109
detect.alert              | AFPacketeth33             | 32
capture.kernel_packets    | AFPacketeth34             | 2073483
capture.kernel_drops      | AFPacketeth34             | 573298
decoder.pkts              | AFPacketeth34             | 1200080
decoder.bytes             | AFPacketeth34             | 941574054
decoder.ipv4              | AFPacketeth34             | 1202044
decoder.ipv6              | AFPacketeth34             | 52019
decoder.ethernet          | AFPacketeth34             | 1200080
decoder.raw               | AFPacketeth34             | 0
decoder.sll               | AFPacketeth34             | 0
decoder.tcp               | AFPacketeth34             | 500474
decoder.udp               | AFPacketeth34             | 724363
decoder.sctp              | AFPacketeth34             | 0
decoder.icmpv4            | AFPacketeth34             | 5122
decoder.icmpv6            | AFPacketeth34             | 1630
decoder.ppp               | AFPacketeth34             | 115
decoder.pppoe             | AFPacketeth34             | 0
decoder.gre               | AFPacketeth34             | 855
decoder.vlan              | AFPacketeth34             | 0
decoder.teredo            | AFPacketeth34             | 49508
decoder.ipv4_in_ipv6      | AFPacketeth34             | 0
decoder.ipv6_in_ipv6      | AFPacketeth34             | 0
decoder.avg_pkt_size      | AFPacketeth34             | 785
decoder.max_pkt_size      | AFPacketeth34             | 1514
defrag.ipv4.fragments     | AFPacketeth34             | 8379
defrag.ipv4.reassembled   | AFPacketeth34             | 1525
defrag.ipv4.timeouts      | AFPacketeth34             | 0
defrag.ipv6.fragments     | AFPacketeth34             | 1232
defrag.ipv6.reassembled   | AFPacketeth34             | 331
defrag.ipv6.timeouts      | AFPacketeth34             | 0
defrag.max_frag_hits      | AFPacketeth34             | 0
tcp.sessions              | AFPacketeth34             | 24356
tcp.ssn_memcap_drop       | AFPacketeth34             | 0
tcp.pseudo                | AFPacketeth34             | 267
tcp.invalid_checksum      | AFPacketeth34             | 0
tcp.no_flow               | AFPacketeth34             | 0
tcp.reused_ssn            | AFPacketeth34             | 8
tcp.memuse                | AFPacketeth34             | 44815584
