-------------------------------------------------------------------
Date: 7/2/2013 -- 15:29:17 (uptime: 0d, 00h 00m 28s)
-------------------------------------------------------------------
Counter                   | TM Name                   | Value
tcp.pseudo                | AFPacketeth312            | 310
tcp.invalid_checksum      | AFPacketeth312            | 0
tcp.no_flow               | AFPacketeth312            | 0
tcp.reused_ssn            | AFPacketeth312            | 4
tcp.memuse                | AFPacketeth312            | 48361232
tcp.syn                   | AFPacketeth312            | 17877
tcp.synack                | AFPacketeth312            | 6573
tcp.rst                   | AFPacketeth312            | 4039
tcp.segment_memcap_drop   | AFPacketeth312            | 147487
tcp.stream_depth_reached  | AFPacketeth312            | 0
tcp.reassembly_memuse     | AFPacketeth312            | 17179919069
tcp.reassembly_gap        | AFPacketeth312            | 84
detect.alert              | AFPacketeth312            | 21
capture.kernel_packets    | AFPacketeth313            | 1663576
capture.kernel_drops      | AFPacketeth313            | 193164
decoder.pkts              | AFPacketeth313            | 1200080
decoder.bytes             | AFPacketeth313            | 948928014
decoder.ipv4              | AFPacketeth313            | 1200957
decoder.ipv6              | AFPacketeth313            | 41593
decoder.ethernet          | AFPacketeth313            | 1200080
decoder.raw               | AFPacketeth313            | 0
decoder.sll               | AFPacketeth313            | 0
decoder.tcp               | AFPacketeth313            | 493694
decoder.udp               | AFPacketeth313            | 727511
decoder.sctp              | AFPacketeth313            | 0
decoder.icmpv4            | AFPacketeth313            | 5017
decoder.icmpv6            | AFPacketeth313            | 1770
decoder.ppp               | AFPacketeth313            | 206
decoder.pppoe             | AFPacketeth313            | 0
decoder.gre               | AFPacketeth313            | 401
decoder.vlan              | AFPacketeth313            | 0
decoder.teredo            | AFPacketeth313            | 40139
decoder.ipv4_in_ipv6      | AFPacketeth313            | 0
decoder.ipv6_in_ipv6      | AFPacketeth313            | 0
decoder.avg_pkt_size      | AFPacketeth313            | 791
decoder.max_pkt_size      | AFPacketeth313            | 1514
defrag.ipv4.fragments     | AFPacketeth313            | 5816
defrag.ipv4.reassembled   | AFPacketeth313            | 988
defrag.ipv4.timeouts      | AFPacketeth313            | 0
defrag.ipv6.fragments     | AFPacketeth313            | 731
defrag.ipv6.reassembled   | AFPacketeth313            | 155
defrag.ipv6.timeouts      | AFPacketeth313            | 0
defrag.max_frag_hits      | AFPacketeth313            | 0
tcp.sessions              | AFPacketeth313            | 24315
tcp.ssn_memcap_drop       | AFPacketeth313            | 0
tcp.pseudo                | AFPacketeth313            | 219
tcp.invalid_checksum      | AFPacketeth313            | 0
tcp.no_flow               | AFPacketeth313            | 0
tcp.reused_ssn            | AFPacketeth313            | 5
tcp.memuse                | AFPacketeth313            | 46880128
tcp.syn                   | AFPacketeth313            | 18398
tcp.synack                | AFPacketeth313            | 6756
tcp.rst                   | AFPacketeth313            | 4488
tcp.segment_memcap_drop   | AFPacketeth313            | 167025
tcp.stream_depth_reached  | AFPacketeth313            | 0
tcp.reassembly_memuse     | AFPacketeth313            | 17179895555
tcp.reassembly_gap        | AFPacketeth313            | 75
detect.alert              | AFPacketeth313            | 34
capture.kernel_packets    | AFPacketeth314            | 1688247
capture.kernel_drops      | AFPacketeth314            | 195062
decoder.pkts              | AFPacketeth314            | 1200080
decoder.bytes             | AFPacketeth314            | 894452492
decoder.ipv4              | AFPacketeth314            | 1201442
decoder.ipv6              | AFPacketeth314            | 42004
decoder.ethernet          | AFPacketeth314            | 1200080
decoder.raw               | AFPacketeth314            | 0
decoder.sll               | AFPacketeth314            | 0
decoder.tcp               | AFPacketeth314            | 522460
decoder.udp               | AFPacketeth314            | 692345
decoder.sctp              | AFPacketeth314            | 0
decoder.icmpv4            | AFPacketeth314            | 5399
decoder.icmpv6            | AFPacketeth314            | 1633
decoder.ppp               | AFPacketeth314            | 90
decoder.pppoe             | AFPacketeth314            | 0
decoder.gre               | AFPacketeth314            | 108
decoder.vlan              | AFPacketeth314            | 0
decoder.teredo            | AFPacketeth314            | 41000
decoder.ipv4_in_ipv6      | AFPacketeth314            | 0
decoder.ipv6_in_ipv6      | AFPacketeth314            | 0
decoder.avg_pkt_size      | AFPacketeth314            | 745
decoder.max_pkt_size      | AFPacketeth314            | 1514
defrag.ipv4.fragments     | AFPacketeth314            | 9789
defrag.ipv4.reassembled   | AFPacketeth314            | 1573
defrag.ipv4.timeouts      | AFPacketeth314            | 0
defrag.ipv6.fragments     | AFPacketeth314            | 62
defrag.ipv6.reassembled   | AFPacketeth314            | 20
defrag.ipv6.timeouts      | AFPacketeth314            | 0
defrag.max_frag_hits      | AFPacketeth314            | 0
tcp.sessions              | AFPacketeth314            | 23373
tcp.ssn_memcap_drop       | AFPacketeth314            | 0
tcp.pseudo                | AFPacketeth314            | 244
tcp.invalid_checksum      | AFPacketeth314            | 0
tcp.no_flow               | AFPacketeth314            | 0
tcp.reused_ssn            | AFPacketeth314            | 6
tcp.memuse                | AFPacketeth314            | 47438544
tcp.syn                   | AFPacketeth314            | 18697
tcp.synack                | AFPacketeth314            | 6580
tcp.rst                   | AFPacketeth314            | 4480
tcp.segment_memcap_drop   | AFPacketeth314            | 174897
tcp.stream_depth_reached  | AFPacketeth314            | 0
tcp.reassembly_memuse     | AFPacketeth314            | 17179919069
tcp.reassembly_gap        | AFPacketeth314            | 60
detect.alert              | AFPacketeth314            | 42
capture.kernel_packets    | AFPacketeth315            | 1470432
capture.kernel_drops      | AFPacketeth315            | 270269
decoder.pkts              | AFPacketeth315            | 900060
decoder.bytes             | AFPacketeth315            | 740984836
decoder.ipv4              | AFPacketeth315            | 900782
decoder.ipv6              | AFPacketeth315            | 56194
decoder.ethernet          | AFPacketeth315            | 900060
decoder.raw               | AFPacketeth315            | 0
decoder.sll               | AFPacketeth315            | 0
decoder.tcp               | AFPacketeth315            | 376876
decoder.udp               | AFPacketeth315            | 559290
decoder.sctp              | AFPacketeth315            | 0
decoder.icmpv4            | AFPacketeth315            | 3996
decoder.icmpv6            | AFPacketeth315            | 1148
decoder.ppp               | AFPacketeth315            | 286
decoder.pppoe             | AFPacketeth315            | 0
decoder.gre               | AFPacketeth315            | 304
decoder.vlan              | AFPacketeth315            | 0
decoder.teredo            | AFPacketeth315            | 54693
decoder.ipv4_in_ipv6      | AFPacketeth315            | 0
decoder.ipv6_in_ipv6      | AFPacketeth315            | 0
decoder.avg_pkt_size      | AFPacketeth315            | 823
decoder.max_pkt_size      | AFPacketeth315            | 1514
defrag.ipv4.fragments     | AFPacketeth315            | 4727
defrag.ipv4.reassembled   | AFPacketeth315            | 938
defrag.ipv4.timeouts      | AFPacketeth315            | 0
defrag.ipv6.fragments     | AFPacketeth315            | 2140
defrag.ipv6.reassembled   | AFPacketeth315            | 436
defrag.ipv6.timeouts      | AFPacketeth315            | 0
defrag.max_frag_hits      | AFPacketeth315            | 0
tcp.sessions              | AFPacketeth315            | 17349
tcp.ssn_memcap_drop       | AFPacketeth315            | 0
tcp.pseudo                | AFPacketeth315            | 236
tcp.invalid_checksum      | AFPacketeth315            | 0
tcp.no_flow               | AFPacketeth315            | 0
tcp.reused_ssn            | AFPacketeth315            | 1
tcp.memuse                | AFPacketeth315            | 41782016
tcp.syn                   | AFPacketeth315            | 13697
tcp.synack                | AFPacketeth315            | 4976
tcp.rst                   | AFPacketeth315            | 3158
tcp.segment_memcap_drop   | AFPacketeth315            | 127353
tcp.stream_depth_reached  | AFPacketeth315            | 0
tcp.reassembly_memuse     | AFPacketeth315            | 17179886925
tcp.reassembly_gap        | AFPacketeth315            | 60
detect.alert              | AFPacketeth315            | 28
capture.kernel_packets    | AFPacketeth316            | 1699110
capture.kernel_drops      | AFPacketeth316            | 198936
decoder.pkts              | AFPacketeth316            | 1200080
decoder.bytes             | AFPacketeth316            | 956429557
decoder.ipv4              | AFPacketeth316            | 1201584
decoder.ipv6              | AFPacketeth316            | 46715
decoder.ethernet          | AFPacketeth316            | 1200080
decoder.raw               | AFPacketeth316            | 0
decoder.sll               | AFPacketeth316            | 0
decoder.tcp               | AFPacketeth316            | 501282
decoder.udp               | AFPacketeth316            | 717693
decoder.sctp              | AFPacketeth316            | 0
decoder.icmpv4            | AFPacketeth316            | 4879
decoder.icmpv6            | AFPacketeth316            | 1726
decoder.ppp               | AFPacketeth316            | 1549
decoder.pppoe             | AFPacketeth316            | 0
decoder.gre               | AFPacketeth316            | 1569
decoder.vlan              | AFPacketeth316            | 0
decoder.teredo            | AFPacketeth316            | 44376
decoder.ipv4_in_ipv6      | AFPacketeth316            | 0
decoder.ipv6_in_ipv6      | AFPacketeth316            | 0
decoder.avg_pkt_size      | AFPacketeth316            | 797
decoder.max_pkt_size      | AFPacketeth316            | 1514
defrag.ipv4.fragments     | AFPacketeth316            | 8671
defrag.ipv4.reassembled   | AFPacketeth316            | 1669
defrag.ipv4.timeouts      | AFPacketeth316            | 0
defrag.ipv6.fragments     | AFPacketeth316            | 492
defrag.ipv6.reassembled   | AFPacketeth316            | 138
defrag.ipv6.timeouts      | AFPacketeth316            | 0
defrag.max_frag_hits      | AFPacketeth316            | 0
tcp.sessions              | AFPacketeth316            | 23569
tcp.ssn_memcap_drop       | AFPacketeth316            | 0
tcp.pseudo                | AFPacketeth316            | 205
tcp.invalid_checksum      | AFPacketeth316            | 0
tcp.no_flow               | AFPacketeth316            | 0
tcp.reused_ssn            | AFPacketeth316            | 9
tcp.memuse                | AFPacketeth316            | 46935856
tcp.syn                   | AFPacketeth316            | 17752
tcp.synack                | AFPacketeth316            | 6327
tcp.rst                   | AFPacketeth316            | 4089
tcp.segment_memcap_drop   | AFPacketeth316            | 146020
tcp.stream_depth_reached  | AFPacketeth316            | 0
tcp.reassembly_memuse     | AFPacketeth316            | 17179895555
tcp.reassembly_gap        | AFPacketeth316            | 67
detect.alert              | AFPacketeth316            | 27
flow_mgr.closed_pruned    | FlowManagerThread         | 21424
flow_mgr.new_pruned       | FlowManagerThread         | 575883
flow_mgr.est_pruned       | FlowManagerThread         | 86249
flow.memuse               | FlowManagerThread         | 445763472
flow.spare                | FlowManagerThread         | 1060211
flow.emerg_mode_entered   | FlowManagerThread         | 0
flow.emerg_mode_over      | FlowManagerThread         | 0
